Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freeze Frame #8 at Black Ice eSports	03 July 2022	Failbot	73	142	http://start.gg/tournament/freeze-frame-8-at-black-ice-esports/event/ultimate-singles	https://braacket.com/tournament/824F229F-9115-4C42-B5EC-A55BA3930582
Placement	Tag	Alt
1	Failbot	Rad | Failbot
2	GodIMissHer	Kasmir
3	loaf	loaf
4	Stealth_Pilot	Stealth_Pilot
5	CrowZ	CrowZ
5	Lucky	Lucky
7	Jbrav	Jbrav
7	Thor	Thor
9	Truth	Abat
9	Violet	Dick Saucer
9	sans.	sans.
9	Ventura	Ventura
13	Clifford	Clifford
13	HeroAwesome	HeroAwesome
13	stevenshark	stevenshark
13	Toastfish	Toastfish
17	PinkShirtGuy	BRAVO | PinkShirtGuy
17	Llomomo	BTL | Llomomo
17	Carrfam	Carrfam
17	Drip	Drip
17	Franzwa	Franzwa
17	Neet	Neet
17	TigerNope	TigerNope
17	Vivian	Vivian
25	AllDay	AllDay
25	Cranky	Cranky
25	Dawsboss28	Dawsboss28
25	Dole Dips	Dubular | Dole Dips
25	LeScrubLife	LeScrubLife
25	Motionz	Motionz
25	Phantom	Phantom
25	RoboPanda	RoboPanda
33	BarbNation	BarbNation
33	Spooky	BIC | Spooky
33	darkdoger	darkdoger
33	Bubswah	DK | Bubswah
33	Childish	dw/me | Childish
33	Ehis	Ehis
33	ep	ep
33	Zetnea	GDS | Zetnea
33	Hype2Hard	Hype2Hard
33	Jake Fox	Jake Fox
33	Legit	Legit
33	NAF	NAF
33	peparony	peparony
33	Rush	Rush
33	Spritemare	Spritemare
33	Yungsavage	Yungsavage
49	a worm	a worm
49	Arcato	Arcato
49	Blaze	BlazeK114
49	Fil	DrFil
49	Haus	Haus
49	HunnerDollaB	IMP | HunnerDollaB
49	Jackypoo	Jackypoo
49	M0ns00n	M0ns00n
49	Maynnaise	Maynnaise
49	MN Aero	Pac | MN Aero
49	Pony	Pony
49	REAVER	REAVER
49	A Shape	Shape
49	spitz	spitz
49	studentX	studentX
49	Zenon	Zenon
65	Bablo	Bablo
65	Equinox	GDS | Equinox
65	Gummy	Gummy
65	Hammy	Hammy
65	IvUsaur	IvUsaur
65	lotuskosal	jewker
65	Ninten	lotuskosal
65	PackJendleton	Ninten
