Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #18 at Black Ice	23 April 2022	loaf	34	66	http://smash.gg/tournament/freezie-friday-18-at-black-ice/event/ultimate-singles	https://braacket.com/tournament/191DFD1D-47E8-429D-B4EE-CD3969AECC15
Placement	Tag	Alt
1	loaf	loaf
2	Stealth_Pilot	Stealth_Pilot
3	Ventura	Ventura
4	Meatflap	Meatflap
5	Violet	George R. R. Binks
5	Kareem	TheCoolestPersonHere
7	The Ashen Dragoon	The Ashen Dragoon
7	Tosty	Tosty
9	VinnyTea	FS | VinnyTea
9	Gwishin	Gwishin
9	Bunny5001	Isaac
9	MintyGuy700	MintyGuy700
13	bokobo	bokobo
13	Limbo	Limbo
13	RoboPanda	RoboPanda
13	yonuh	yonuh
17	BarbNation	BarbNation
17	Flax	Flax
17	GAY LORD	GAY LORD
17	Maynnaise	Maynnaise
17	Qwuartz	Qwuartz
17	Rush	rush
17	Morgan	scam likely
17	spitz	spitz
25	Alm#0420	Alm#0420
25	Blaze	BlazeK114
25	Juggz	CSP | Juggz
25	kurisu	kurisu
25	Mello	Mello
25	NAF	NAF
25	TacTac	TacTac
25	KennyC	TYC | KennyC
33	dabe	dabe
33	Yoom-Tah	Yoom-Tah
