Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #23 at Black Ice eSports	18 June 2022	GodIMissHer	52	102	http://start.gg/tournament/freezie-friday-23-at-black-ice-esports/event/ultimate-singles	https://braacket.com/tournament/CA18F40C-901A-4B6F-9CAC-3038CBA64200
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	stevenshark	stevenshark
3	Stealth_Pilot	Stealth_Pilot
4	Ehis	Ehis
5	Vivian	fem | Vivian
5	Violet	Glock in the Toyota
7	AllDay	AllDay
7	Ventura	Ventura
9	awert	awert
9	Meatflap	Meatflap
9	The Ashen Dragoon	The Ashen Dragoon
9	Tosty	Tosty
13	Faucet	Faucet
13	Hype2Hard	Hype2Hard
13	Limbo	Limbo
13	sans.	sans. | sans.
17	//JumpMan//	//JumpMan//
17	Blaze	BlazeK114
17	bokobo	bokobo
17	Daxe	Daxe
17	Kden	Kden
17	REAVER	RAGE
17	spitz	spitz
17	Yungsavage	Yungsavage
25	GAY LORD	GAY LORD
25	Haus	Haus
25	NAF	NAF
25	RoboPanda	RoboPanda
25	Rush	Rush
25	Morgan	scam
25	Spritemare	Spritemare
25	Zigglet	Zigglet
33	blackwolf	BlackWolf
33	dabe	dabe
33	Fil	DrFil
33	eyesac	Eyesac
33	FED	FED
33	FlameHorizon	FlameHorizon
33	G0hji	G0hji
33	Honeysmoo	Honeysmoo
33	Lack of Thumbs	Lack of Thumbs
33	Palito	Palito
33	Pankate	Pankate
33	BIG PHARMA	PHDpretty
33	Royal	Royal
33	Snip	Snip
33	studentX	studentX
33	TacTac	TacTac
49	beanboy	beanboi
49	emtea	glasshalfemtea
49	HAZY	HAZY
49	Juggz	Juggz
