Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #25 at Black Ice eSports	09 July 2022	GodIMissHer	40	78	http://start.gg/tournament/freezie-friday-25-at-black-ice-esports-1/event/ultimate-singles	https://braacket.com/tournament/4C4E58CF-1C33-4181-BB1A-53F2496C1226
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	Lucky	Lucky
3	Ventura	Ventura
4	Tosty	Tosty
5	awert	awert
5	Limbo	Limbo
7	darkdoger	darkdoger
7	Maynnaise	Maynnaise
9	ADDICT	<3 | ADDICT
9	Cranky	Cranky
9	Ehis	Ehis | Ehis
9	sans.	sans. | sans.
13	bokobo	bokobo
13	Violet	GOMLa Harris
13	Spritemare	Spritemare
13	Yungsavage	Yungsavage
17	Winro	AURA | Winro
17	BarbNation	BarbNation
17	Blaze	BlazeK114
17	Jaycooh	Jaycooh
17	NAF	NAF
17	Camden	NC-17 | Camden
17	REAVER	REAVER
17	Morgan	scam
25	GLLY	GLLY
25	Gummy	Gummy
25	Hammy	Hammy
25	kurisu	kurisu
25	Legit	Legit
25	Mailiam	Mailiam
25	SPIKE!	SPIKE!
25	studentX	studentX
33	Airpog!	Airpog!
33	Fil	DrFil
33	Ethan	Ethan
33	emtea	glasshalfemtea
33	Ian	Ian
33	Royal	Royal
33	spitz	spitz
33	Verse	Verse
