Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #26	23 May 2022	Failbot	24	45	http://smash.gg/tournament/inver-grove-fights-26/event/ultimate-singles	https://braacket.com/tournament/B1A70CDF-DE2F-4A4F-9FC2-5BD428C26476
Placement	Tag	Alt
1	Failbot	Rad | Failbot
2	Violet	Mid Life Savage
3	AllDay	AllDay
4	dabberoni	dabberoni
5	Ehis	Ehis
5	Natchy	Natchy
7	Blaze	BlazeK114
7	REAVER	RAGE
9	GAY LORD	GAY LORD
9	ZR	GCSC | ZR
9	JStrudel	JStrudel
9	The Ashen Dragoon	The Ashen Dragoon
13	a worm	a worm
13	CJApplegate	CJApplegate
13	BIG WILL	MADVILLAIN | BIG WILL
13	Rush	Rush
17	Leon	Leon
17	Lupe	Lupe
17	mrboi	mrboi
17	Plaph	Plaph
17	The Football	The | Football
17	Wafflemage	Wafflemage
17	WalMarth	WalMarth
17	Zenon	Zenon
