Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #57	26 August 2022	Vivian	20	38	http://start.gg/tournament/stop-your-friendlies-57/event/ultimate-singles	https://braacket.com/tournament/A82DA2DF-3657-4CD1-847A-A6DCF1663777
Placement	Tag	Alt
1	Vivian	fem | Vivian
2	Truth	Resident Fraud
3	Meatflap	Meatflap
4	Dadzie	Dadzie
5	LazyZach	#TransRights | LazyZach
5	Shrumble	Shrumble
7	GAY LORD	GAY LORD
7	Spritemare	Spritemare
9	kogame	GH | | kogame
9	Limbo	Limbo
9	Rayne!	Rayne!
9	Yungsavage	Yungsavage
13	bokobo	bokobo
13	icymcspicy	icymcspicy
13	studentX	studentX
13	TacTac	TacTac
17	BrokenSol	BrokenSol
17	dabe	dabe
17	Gummy	Gummy
17	Jonastty	Jonastty
