Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
UMEC #34	12 June 2022	Thor	22	43	http://start.gg/tournament/umec-34/event/ultimate-singles	https://braacket.com/tournament/09FB1E04-D528-49F5-9716-A46A04A18055
Placement	Tag	Alt
1	Thor	Thor
2	Violet	Naruto Divergent
3	Dadzie	Dadzie
4	AllDay	AllDay
5	Llomomo	BTL | Llomomo
5	Meatflap	Meatflap
7	Disco	Dsco
7	Sean Sorey	Sean Sorey
9	Blaze	BlazeK114
9	Pignite	Pignite
9	skippychompy	skippychompy (VDC)
9	The Ashen Dragoon	The Ashen Dragoon
13	dat	dat
13	DommyMommy12	DommyMommy12
13	FalconPunch25	FalconPunch25
13	REAVER	RAGE
17	BMillion	BMillion
17	Danford	Danford
17	八	Hachi
17	Jackypoo	Jackypoo
17	Kracken	Kracken
17	Rush	Rush
